Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eI1_4 tile 241014 A cryosection.czi,6,241.05,2360,old caecum
G103bO2 tile.czi,2,242,47,young colon
G103bI3_1 tile.czi,2,242.63,947,young caecum
G103bI3_2 tiles.czi,3,243.04,506,young caecum
G103bI3_3 tiles.czi,1,243.23,1338,young caecum
G121eO3_2 tile.czi,3,243.8,285,old colon
G121eI B2-3 stitch.czi,4,244.2,153,old caecum
G121eO3_3 tile.czi,1,244.4,323,old colon
G121eD3_2 tile.czi - Scene #2,3,247,229,old ileum
G121eD3_3 tile.czi,1,247,1,old ileum
G121eO3_1 tile.czi,2,247,1120,old colon
G121eI B2-1 stitch.czi,3,314.14,656,old caecum
